# BEAST v10.5.0
# Generated Thu Apr 09 16:31:01 BRT 2026 [seed=1775763060804]
# CDV_GTRG4_skygrid_strict_4traits.xml
state	host_1.rates.Carnivora.Primates	host_1.rates.Primates.Carnivora	host_1.indicators.Carnivora.Primates	host_1.indicators.Primates.Carnivora	host_1.nonZeroRates
0	1.0	1.0	1.0	1.0	2.0
10000	1.096778801456297	1.7195431781108412	1.0	1.0	2.0
20000	0.5972085817463101	0.29765539393576523	1.0	1.0	2.0
30000	0.9626427045606223	0.38833577296484684	1.0	1.0	2.0
40000	0.22734569391169668	0.23279708655869374	1.0	1.0	2.0
50000	2.5948807987425226	0.8937893329125153	0.0	1.0	1.0
60000	0.23928809956174105	5.642803711433022	1.0	1.0	2.0
70000	0.7699751103772783	1.6546185595860459	1.0	1.0	2.0
80000	0.1104087749621927	0.060889176277398496	1.0	1.0	2.0
90000	0.30383024312608103	0.1011435551722302	1.0	1.0	2.0
100000	1.4697859317640538	0.19829860082006592	1.0	1.0	2.0
110000	1.0054837356800324	0.4561640175559805	1.0	1.0	2.0
120000	0.9978390450278943	0.5717912758452005	1.0	1.0	2.0
130000	3.5120061728926237	7.754302413141335E-4	1.0	1.0	2.0
140000	1.3800683297875795	0.17892786705363525	1.0	1.0	2.0
150000	4.338581766130258	0.7339037853208019	1.0	1.0	2.0
160000	1.0522778775876276	0.5201786662667106	1.0	1.0	2.0
170000	1.8442162464698644	1.1071726365744148	1.0	1.0	2.0
180000	0.5259498705463169	0.03713315280873444	1.0	1.0	2.0
190000	0.09021123458055703	0.06566629140180151	1.0	1.0	2.0
200000	4.243906770589573	0.1233727446713875	1.0	1.0	2.0
210000	0.3321821969634413	0.5575086484956404	1.0	1.0	2.0
220000	1.2425425475374245	0.29122249286560065	1.0	1.0	2.0
230000	1.7158333532058594	2.8180816934230695	1.0	1.0	2.0
240000	0.23001878731530703	0.924970707074153	1.0	1.0	2.0
250000	0.6576570828939136	0.18491797662403717	1.0	1.0	2.0
260000	1.1389126661127447	0.7657438254193513	1.0	1.0	2.0
270000	1.1134969003914685	1.5161091540787424	1.0	1.0	2.0
280000	1.1925065017810665	1.4780846298866679	1.0	1.0	2.0
290000	0.2196656214495818	0.04924070093190549	1.0	1.0	2.0
300000	0.12325806457951176	0.2138926304181621	1.0	1.0	2.0
310000	0.34092636420984285	0.34536899287456563	1.0	1.0	2.0
320000	0.579718886859337	1.4807951095291716	1.0	1.0	2.0
330000	1.2965636001211496	0.9475005301531005	1.0	1.0	2.0
340000	0.9196877297829377	5.374399221048668	1.0	1.0	2.0
350000	0.3237926091940213	0.27728246228775155	1.0	1.0	2.0
360000	0.8837078448636342	0.8396013993792852	1.0	1.0	2.0
370000	4.205104560146002	3.233320033628988	1.0	1.0	2.0
380000	1.9215204154039105	0.03385022196562037	1.0	1.0	2.0
390000	1.003768454069895	0.3038559877297718	1.0	1.0	2.0
400000	0.5243679458029759	0.0172892675269334	1.0	1.0	2.0
410000	1.6574960512200332	1.829871904594837	1.0	1.0	2.0
420000	1.1732781583444618	1.0657536252328275	1.0	1.0	2.0
430000	0.2397242914548153	0.05458548572706047	1.0	1.0	2.0
440000	0.2365908356373421	0.7719565960845233	1.0	1.0	2.0
450000	0.477125934322664	0.6353883271084806	1.0	1.0	2.0
460000	1.0833608900442546	0.44001082739179803	1.0	1.0	2.0
470000	2.02761886388204	0.38907808391050364	1.0	1.0	2.0
480000	0.559640141947796	0.22204714951539817	1.0	1.0	2.0
490000	1.7170222152946994	0.2332671002872419	1.0	1.0	2.0
500000	0.4364356204014443	0.7823327663748129	1.0	1.0	2.0
510000	0.2979383871452331	0.9840674385357356	1.0	1.0	2.0
520000	0.944499415030841	2.025043260236533	1.0	1.0	2.0
530000	0.6084867065746626	0.2089012493185256	1.0	1.0	2.0
540000	0.3828284973124366	0.7755435273922199	1.0	1.0	2.0
550000	1.2379926516375017	0.3734327760965351	1.0	1.0	2.0
560000	0.2956416569157387	0.07975036868952023	1.0	1.0	2.0
570000	0.43800977283340714	0.40765956180719326	1.0	1.0	2.0
580000	1.7294744938809516	2.226082032905951	1.0	1.0	2.0
590000	0.2014196406881492	0.23851924535432492	1.0	1.0	2.0
600000	0.5448446504980581	0.956788811888546	1.0	1.0	2.0
610000	0.3703913652990671	0.09626794543479662	1.0	1.0	2.0
620000	5.505255528170794	0.09778107956566569	1.0	1.0	2.0
