# BEAST v10.5.0
# Generated Thu Apr 09 11:53:39 BRT 2026 [seed=1775746417747]
# CDV_GTRG4_skygrid_strict_4traits.xml
state	location_2.rates.Argentina.Brazil	location_2.rates.Argentina.Gabon	location_2.rates.Argentina.Germany	location_2.rates.Argentina.Hungary	location_2.rates.Argentina.Italy	location_2.rates.Argentina.Uruguay	location_2.rates.Brazil.Gabon	location_2.rates.Brazil.Germany	location_2.rates.Brazil.Hungary	location_2.rates.Brazil.Italy	location_2.rates.Brazil.Uruguay	location_2.rates.Gabon.Germany	location_2.rates.Gabon.Hungary	location_2.rates.Gabon.Italy	location_2.rates.Gabon.Uruguay	location_2.rates.Germany.Hungary	location_2.rates.Germany.Italy	location_2.rates.Germany.Uruguay	location_2.rates.Hungary.Italy	location_2.rates.Hungary.Uruguay	location_2.rates.Italy.Uruguay	location_2.rates.Brazil.Argentina	location_2.rates.Gabon.Argentina	location_2.rates.Germany.Argentina	location_2.rates.Hungary.Argentina	location_2.rates.Italy.Argentina	location_2.rates.Uruguay.Argentina	location_2.rates.Gabon.Brazil	location_2.rates.Germany.Brazil	location_2.rates.Hungary.Brazil	location_2.rates.Italy.Brazil	location_2.rates.Uruguay.Brazil	location_2.rates.Germany.Gabon	location_2.rates.Hungary.Gabon	location_2.rates.Italy.Gabon	location_2.rates.Uruguay.Gabon	location_2.rates.Hungary.Germany	location_2.rates.Italy.Germany	location_2.rates.Uruguay.Germany	location_2.rates.Italy.Hungary	location_2.rates.Uruguay.Hungary	location_2.rates.Uruguay.Italy	location_2.indicators.Argentina.Brazil	location_2.indicators.Argentina.Gabon	location_2.indicators.Argentina.Germany	location_2.indicators.Argentina.Hungary	location_2.indicators.Argentina.Italy	location_2.indicators.Argentina.Uruguay	location_2.indicators.Brazil.Gabon	location_2.indicators.Brazil.Germany	location_2.indicators.Brazil.Hungary	location_2.indicators.Brazil.Italy	location_2.indicators.Brazil.Uruguay	location_2.indicators.Gabon.Germany	location_2.indicators.Gabon.Hungary	location_2.indicators.Gabon.Italy	location_2.indicators.Gabon.Uruguay	location_2.indicators.Germany.Hungary	location_2.indicators.Germany.Italy	location_2.indicators.Germany.Uruguay	location_2.indicators.Hungary.Italy	location_2.indicators.Hungary.Uruguay	location_2.indicators.Italy.Uruguay	location_2.indicators.Brazil.Argentina	location_2.indicators.Gabon.Argentina	location_2.indicators.Germany.Argentina	location_2.indicators.Hungary.Argentina	location_2.indicators.Italy.Argentina	location_2.indicators.Uruguay.Argentina	location_2.indicators.Gabon.Brazil	location_2.indicators.Germany.Brazil	location_2.indicators.Hungary.Brazil	location_2.indicators.Italy.Brazil	location_2.indicators.Uruguay.Brazil	location_2.indicators.Germany.Gabon	location_2.indicators.Hungary.Gabon	location_2.indicators.Italy.Gabon	location_2.indicators.Uruguay.Gabon	location_2.indicators.Hungary.Germany	location_2.indicators.Italy.Germany	location_2.indicators.Uruguay.Germany	location_2.indicators.Italy.Hungary	location_2.indicators.Uruguay.Hungary	location_2.indicators.Uruguay.Italy	location_2.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	42.0
10000	0.0872507204623647	0.8578176065027979	0.9788107525404031	0.5636256376475901	4.087807600545264	0.9969842026231005	0.21894411012838802	1.272702775721856	1.0936876854638478	1.265077732869055	1.313557818268536	0.338920035489968	0.21729808494313285	0.7558972688058214	0.24012641046973052	0.15018567694081633	0.8024383949026479	1.6518555476864423	2.3905089529126777	2.059614957819106	0.2986802244229604	1.9343758064197152	0.48048115321251356	0.25503568851179764	0.5092485292454441	3.425445732999974	0.6880502291314302	0.9879707816260234	0.7160349645752551	1.331250441202624	2.226315610832743	0.28561773805883417	0.1341627176256635	0.7149230753858561	1.4743706189445362	0.4371708449829474	0.6885607125898066	0.757310385343086	0.2806943907320288	0.7406535018381935	1.886517290391096	2.1531810048475397	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	11.0
20000	0.04154626004295706	0.2633146233577036	2.1925896740996866	1.637550004236998	3.4353807471368096	0.13010276817847016	0.3936029920175296	2.2597939157320233	1.7051311427167433	1.9219892822504596	0.2055341997348908	0.01267387906107242	1.9556535103951285	0.4191679690671337	0.08169750511297107	0.30826141891363745	1.6104750892182587	1.0719881907913391	0.6309697708536139	2.6340473934943387	0.27495652196099907	1.7632000634900682	0.47636281205524383	0.0876465782570416	0.7526485389007572	0.8406279148649105	0.26543644989181725	0.783216081601624	0.23836944896502313	0.4134452178316114	2.7659447030400686	1.424094630511942	0.13363027937738783	0.9515126142621745	4.434225738312723	0.08676798300921845	1.5671653031342674	0.27653520476186433	1.9143698623733794	0.6108827209112708	2.87513594202264	0.7226779688433128	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	12.0
30000	0.009898263565589585	0.09448849435888275	0.6216999137351068	1.4566759841413697	0.2803230295789893	0.5631673295393392	1.704870046026165	0.9891142386478134	0.44022451353812675	0.5358338811492698	1.368461652473935	0.006555419932638571	0.4893312222882425	1.0828282904218005	1.2062429285005638	0.16635845219523904	0.2612028073513893	0.8830418674643682	0.5513024032858275	2.6569468392065723	0.6454273863624712	1.0073570210716414	0.31906138306947934	0.9360792029791616	1.257585570499864	0.3526410924754094	0.0712675557952974	0.783231591674843	0.43291059911857904	1.2670031015601766	2.055892442757142	1.709697971849994	0.12389979462152201	0.6240246870470748	0.12610697854540198	0.3803440038401278	0.34877190761652566	0.5068206871595056	0.6084247476803214	0.7765823951918657	0.3884919406828552	0.6249883977123777	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	11.0
40000	0.7746540962132011	0.4653682266513146	0.39618205230257786	0.20571859404603812	0.4593468510604541	1.166132700217318	0.46034808676083716	0.06522365586803133	0.07364835477922999	1.2012442743053091	0.3323676306238306	0.24951344868031652	1.1185370511408737	0.7610279715219835	0.8379482923920782	0.6707601557311634	0.5974099266568833	0.12220858379145436	0.598371389662418	2.5213028484023465	0.2621206466402992	0.21488975203377028	0.7876516662413698	0.8069642932541552	3.636728416215646	1.6326326407158227	0.09405127160802779	0.28081299391137676	0.23162247912664094	0.3304563528348646	1.1300580414344643	0.5175577024118755	0.9436467826920665	0.08356186647648506	0.23046780256361088	0.7155361637115876	0.4597775204753021	0.9381112367623106	1.3251186749357728	1.4985849735755739	1.1321643713519236	0.18944768075990892	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	11.0
50000	0.04686115056488804	2.00451728341675	0.35096965416095544	0.08888982748165966	1.2634599425347053	0.44397012484625975	1.2134530641054595	0.022943756767168585	0.6177796968792848	0.8615259924980723	0.2100783710948669	0.32810485646299553	0.8256285098610759	1.4689219471006394	0.21784910762418105	0.8008953600450498	0.7136156815488793	0.023689031731451784	2.3732262436808975	0.3204884510768686	0.5474372276289536	0.20088855158934346	0.38491949529656794	0.8112736821672337	1.0621421051412325	0.06929949257023002	0.16999448686867502	0.0982619656747476	0.015249229394830281	0.028181336471925264	2.78253597573474	0.9933640355070714	2.942441467824943	0.01813927081400923	0.2872719757753309	0.48936645757502223	0.4929479538348462	2.299567744115039	0.28899105943077186	1.0889267314971154	2.9019054851900967	0.1587347851662926	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	10.0
60000	0.02877707570658021	2.3278625105144326	0.4185228941869029	0.6139744159181674	1.3716534761688786	2.018227662400334	0.8618290684787935	0.042274757059569235	0.4551906863910856	2.263119449544162	0.4180730194532398	0.07811844392237671	0.8385474823502946	4.530204008044578	1.0852193871642732	3.3658232761230256	0.2876945866489666	0.0036048895719799487	1.6425402949045607	0.31774439264817494	0.5691502053878409	0.07580956423020599	0.22486785438667128	1.1322149643971733	5.970199044319843	1.4978981889247869	0.7508385004369347	0.27148091685583503	0.0033981832874864907	0.0063504477294288935	3.3938550548347775	1.0977105862814054	2.456907830489122	0.36420746540842874	1.983340075318832	4.907661193402522	1.562185308362808	1.1765873644257347	0.08771001393443757	0.44906929732690787	0.2738523478686535	0.05991527849540933	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	14.0
70000	0.010945823198004164	1.7278348176187641	1.8642290315694905	1.8419510754441177	1.641166644904723	0.28783089631538955	0.5928983723285782	0.18502289378774547	0.6009218009795622	0.8417311538699891	1.2541238337852445	0.04595396719925414	0.6755054453714854	2.4486696334623557	0.3059228079719776	0.33809909804875854	1.1440188379846599	0.06450939641492064	0.6479254032702163	0.1601884794555219	0.3594588267071324	0.8999495234740378	1.5672367780299252	2.831716174940454	0.33325807527321927	0.6453937273568664	1.0059262227354835	1.0358900711676153	0.0038275933317157324	0.15402203803641945	1.0978086416898953	0.01309782821428267	1.3057905028090557	0.2121997099840018	0.5674817258762461	0.31614106782326035	1.4336347920243502	0.1121673598271055	0.9793746774501135	3.2597237872674354	0.1883980168791783	0.12403564684297413	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	11.0
80000	0.044463461484676024	0.21082877374577055	1.0546620223269156	1.1408747086655546	0.11472586548119126	1.007775999082818	1.5758510210593912	0.5429800625006896	0.6856651193126627	0.8800474917986112	0.3727103458632386	0.04670955759554402	0.8451506514930066	0.9620052228212368	0.6547548173966944	3.6658142994756475	0.35024887498727225	0.13056826564415128	0.4794416956289104	0.0977321306440562	0.32719737372590824	0.32510655416529893	0.9768193383165794	0.6074201833983081	1.1431177401173622	1.2672179474954817	0.856136290236274	0.4594158645579222	0.00782737333157175	0.7746415788446627	1.7649639012909657	0.05448439932550048	0.2289190830659813	1.291505349247477	1.7998862660907837	0.24680473142754275	1.4849846097025905	0.08292394212986909	0.5358438408913709	1.2670869116071295	0.21419071830979922	1.802938067022831	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	11.0
90000	0.013606544514970873	0.03874502335504549	1.1190657852490435	2.8342186318166864	0.07041492134223583	1.3726266217485668	0.7831870791686452	0.46767947110070823	0.6257687761698112	0.8195600817033751	1.2202199027871363	0.9001105922633483	1.0049670100947627	1.3635226579017534	1.6579769749128297	0.3656628594698028	0.1878706604552426	0.24461007722729425	0.7259083933775098	0.039129232982681825	1.3417383584459204	0.9539733353646767	3.570564006650401	1.8943311846597213	0.2355728667721065	1.4753034876551532	0.07725014719321138	0.45942520179807594	0.00222854602212387	2.4422472489172993	0.27823762209842073	0.31977925829630216	0.5787075411549631	1.0456928930492857	0.4917189261966739	0.20821713628530786	0.36527456102686406	0.6844942008273335	2.126454865931958	1.4434889537953393	0.31364016501815406	1.6309935396961224	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	13.0
