# BEAST v10.5.0
# Generated Thu Apr 09 11:53:39 BRT 2026 [seed=1775746417747]
# CDV_GTRG4_skygrid_strict_4traits.xml
state	location_1.rates.Africa.Europe	location_1.rates.Africa.South America	location_1.rates.Europe.South America	location_1.rates.Europe.Africa	location_1.rates.South America.Africa	location_1.rates.South America.Europe	location_1.indicators.Africa.Europe	location_1.indicators.Africa.South America	location_1.indicators.Europe.South America	location_1.indicators.Europe.Africa	location_1.indicators.South America.Africa	location_1.indicators.South America.Europe	location_1.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0
10000	1.1828442941764832	0.26272473110517847	0.43143202601598635	3.5131349027892544	0.2856911030056058	1.5901019617787748	0.0	1.0	1.0	0.0	1.0	1.0	4.0
20000	0.3679936712384427	0.6677271600842172	0.45235307331406444	0.09172677432331197	1.0297302883039163	1.8401273894168488	0.0	1.0	1.0	1.0	1.0	1.0	5.0
30000	0.6291234191055182	0.6091982066773816	3.609981422389749	1.5282177411914113	1.583529678919391	0.2737401537664297	0.0	1.0	1.0	0.0	1.0	1.0	4.0
40000	1.501453521360125	0.15495624570471223	0.24284380855011234	1.4671917638679395	1.4257101248287105	1.6914037360865717	0.0	1.0	1.0	0.0	1.0	1.0	4.0
50000	0.3143590645549291	0.015296774395519214	0.10703409869368585	1.3501631697307412	0.24828318873399235	0.9579412310006625	0.0	1.0	1.0	0.0	1.0	1.0	4.0
60000	0.15892562991372952	1.2788598724828746	0.6130162563280299	0.034559409388703624	0.2746353455469111	0.8375587149111082	1.0	0.0	1.0	1.0	1.0	1.0	5.0
70000	0.3436952237769179	0.3268201185688399	1.0075582010687612	0.19408263117861693	0.6688092163209537	0.19274491368986868	0.0	1.0	1.0	1.0	1.0	1.0	5.0
80000	0.9228635144636237	0.15536855631034066	2.535405639990828	6.194612388612468	0.6579475275324016	1.5503978981495303	0.0	0.0	1.0	1.0	0.0	1.0	3.0
90000	0.6587829042018434	1.2912279595306735	0.9988224276757233	0.14097390360824696	1.4971806204809517	4.673149680667517	1.0	0.0	0.0	1.0	1.0	1.0	4.0
100000	0.43877538388020815	1.0671761365060726	0.512121739403371	0.16518611921158954	1.4436906574864965	0.9385445677921698	1.0	1.0	1.0	0.0	1.0	1.0	5.0
110000	0.740429692724953	2.694593236736123	0.4829513135501864	1.28101445353274	0.2810069935863939	0.2951613875754405	1.0	0.0	1.0	0.0	1.0	0.0	3.0
120000	0.7620515275841294	1.6610995683689598	0.26311837963262064	0.11937541619221093	1.1889124901884354	1.250184708836578	1.0	0.0	0.0	1.0	0.0	1.0	3.0
130000	1.8357568590259579	0.10690358264631943	1.4576774574180664	0.9260256556948463	0.48277438476700774	0.9125993944015093	1.0	0.0	0.0	1.0	0.0	1.0	3.0
140000	1.2312548660626506	0.6690633742978271	2.391050464615429	0.5249044545798905	0.8359266630559852	3.8302141600935586	1.0	0.0	1.0	0.0	1.0	0.0	3.0
150000	1.0389314108219418	0.9152906488714162	2.60507833806613	0.08308745591127496	0.7866368055181314	0.2474787410166525	0.0	0.0	0.0	1.0	0.0	1.0	2.0
160000	1.1878637827853682	0.5739759025316848	0.674504173877735	0.6010070258526015	0.43876985399554586	0.6184686221139442	1.0	0.0	1.0	0.0	1.0	1.0	4.0
170000	0.5597326822709179	0.16119484434464057	1.5917445643272425	1.4812580140065932	0.12632863676515912	0.7931848982085486	0.0	0.0	1.0	1.0	0.0	1.0	3.0
180000	0.1420678440522703	0.4546384106196743	0.3825245378852634	0.24789944290906663	0.5573535338808993	0.6344464865700137	1.0	1.0	1.0	1.0	0.0	1.0	5.0
190000	3.4770218844383924	0.01552113017892876	0.6875828923999353	1.0026761739095527	0.7626564881724148	3.11353814021885	1.0	0.0	1.0	1.0	0.0	1.0	4.0
200000	2.025167190024361	1.013194306522145	0.5837141094148385	0.28213641948414075	0.13515275844896374	0.6570419841978373	1.0	1.0	1.0	0.0	1.0	0.0	4.0
210000	0.5731620026679007	1.1684986112882494	0.34845983685731785	0.9642849614014471	0.5404087298764175	1.2710387772473195	1.0	0.0	1.0	0.0	1.0	0.0	3.0
220000	0.034913793130334096	0.5250836724233364	0.16578993919740295	2.2975830255793954	0.024093045814708947	0.39646972280836884	0.0	0.0	1.0	0.0	1.0	0.0	2.0
230000	0.07116906760587281	1.1858174689361751	1.4105526251950182	1.7325582336694711	1.4937012975095618	2.0661368643381572	0.0	1.0	1.0	0.0	1.0	0.0	3.0
240000	0.12809961044539248	0.6936964444723361	2.019945370419721	0.43731701227882613	0.35942436018401014	2.078138001810233	1.0	1.0	1.0	0.0	1.0	1.0	5.0
250000	0.590557086095568	1.3530636084212533	0.22942787897078815	1.8161786909393698	0.358213809282883	2.377447767953085	1.0	0.0	1.0	1.0	1.0	0.0	4.0
260000	0.3208662874077936	0.05424635943735404	1.8375811029885645	0.8323216927624993	1.511603534809418	0.03489894035321385	1.0	1.0	1.0	1.0	1.0	1.0	6.0
270000	0.03570184297719733	0.5738874513944898	1.2147182848789133	0.6428939441302931	0.4499235077747561	0.9783232630269709	1.0	1.0	1.0	1.0	1.0	0.0	5.0
280000	0.10093117246732759	1.8212091683320082	0.5602314995049041	1.0600958856639904	0.5178263935250645	0.1093612166610402	0.0	0.0	1.0	0.0	1.0	0.0	2.0
290000	0.6076364640056939	0.308678665455478	0.5129929048725422	0.6403367533289339	1.2831991812183774	1.5004652725453005	1.0	0.0	1.0	1.0	1.0	1.0	5.0
300000	0.19094097239566873	0.1827014839785854	0.8130341646250759	1.5218397903979046	0.4089765443812266	0.5129222159519525	0.0	1.0	1.0	0.0	1.0	0.0	3.0
310000	0.148229983246239	0.40929568613440687	2.634628150852947	0.3253923576448504	0.19855536934035298	0.7251464260637294	1.0	0.0	1.0	0.0	1.0	0.0	3.0
320000	0.42126045708833226	1.7952985867738398	1.2074413776255541	0.5829087648595477	1.9529989277170796	1.0768203837548354	1.0	0.0	1.0	0.0	1.0	0.0	3.0
330000	1.4388424221771874	1.3479435316017445	0.5139107796090748	0.1210771814800501	2.9583569221241124	1.8170638577514888	1.0	0.0	1.0	0.0	1.0	1.0	4.0
340000	1.7973761776637858	0.6189612836047887	1.7750312873449912	0.34205637831202435	0.6789655047887595	0.09086924602073673	1.0	1.0	1.0	0.0	1.0	1.0	5.0
350000	1.7272207062271077	0.48083408886599993	2.7234557822489855	1.3068808420147975	0.6839820449911339	2.2154788122516336	1.0	1.0	1.0	0.0	1.0	0.0	4.0
360000	1.4946372987379346	0.3976380459695922	0.6995614417118701	1.4667613299400413	2.5065903350446983	1.3161497650518448	1.0	1.0	1.0	0.0	1.0	0.0	4.0
370000	1.6299187162365063	0.9426405854843517	0.9878224757945184	0.041199105014814864	0.7509686623562554	1.0986843381486908	0.0	1.0	0.0	1.0	1.0	1.0	4.0
380000	0.095770058087789	2.607112206576285	2.5078690887028374	0.6795465503936122	3.2265826828771003	0.42678660437899923	1.0	1.0	1.0	0.0	1.0	0.0	4.0
390000	2.8181817034712786	0.71400429095159	0.3173224248682764	0.38278638071312837	0.7355719282188535	1.4377152915278877	1.0	1.0	1.0	1.0	1.0	1.0	6.0
400000	0.028431679573071585	1.399529321416996	0.4114656520105372	0.0558551051533724	1.0939198099711864	2.2740946683436443	0.0	1.0	1.0	0.0	1.0	1.0	4.0
410000	0.558448874991749	2.8235264562862166	1.2312788791314044	0.16452449047741288	0.6079992894097975	0.2893248960720063	1.0	0.0	1.0	1.0	1.0	1.0	5.0
420000	0.6287752410555622	2.417768007148093	0.7332171983207948	0.21595222870789615	1.1763480765716892	0.06847777742642988	0.0	0.0	1.0	0.0	1.0	0.0	2.0
430000	0.40176755009661386	0.28755302268240407	0.47719888223320256	0.9154822369534099	0.07159364669311746	0.034300527870985795	0.0	1.0	1.0	0.0	1.0	1.0	4.0
440000	0.6208133144217615	0.34185494819358675	0.7030553573284044	1.2138340426439387	0.7172425750202227	1.1722127645901057	0.0	1.0	1.0	0.0	1.0	1.0	4.0
450000	0.8647971904554009	0.6587554896733836	0.810221085386837	0.11942878171551824	3.7660905037561556	0.8382768212235308	1.0	0.0	1.0	0.0	1.0	1.0	4.0
460000	0.3981359340778878	0.24190770769279682	0.896916844591066	0.8932706223690361	1.2081228143168872	2.2878602176485936	1.0	1.0	1.0	0.0	1.0	0.0	4.0
470000	0.4420157562031038	0.39224878137513636	0.7425043877961751	0.06219139696167973	2.1564667677036438	0.8071814886807929	0.0	0.0	1.0	0.0	1.0	1.0	3.0
480000	0.4329938175248494	1.3891785208298344	1.2919922493428024	1.3759790556028273	1.29129683438671	0.4430716345940142	1.0	1.0	1.0	0.0	1.0	1.0	5.0
490000	1.015005074108872	0.8429862347222387	0.7195583343764757	1.4403193186525924	1.1599409709481943	0.25920363505668054	0.0	0.0	1.0	0.0	1.0	1.0	3.0
500000	1.422091845083347	0.12272113939674163	0.4437313506498689	4.283418464535706	0.7956964047123692	1.3453643649540357	0.0	1.0	1.0	0.0	1.0	0.0	3.0
510000	0.048326394565216944	0.4117696553340266	2.19237162077817	1.6111766310150086	3.3915127377446916	0.28546221346822914	1.0	1.0	1.0	0.0	1.0	1.0	5.0
520000	1.1490099529278455E-4	1.016688054753813	1.7460636737169186	0.1014944265106468	0.36335035104269087	0.4804659335846851	1.0	0.0	1.0	0.0	1.0	0.0	3.0
530000	0.0148400420330897	0.4844553884354779	1.6808053353581176	1.1222800757372329	2.0797237894317067	1.835825260592878	0.0	1.0	1.0	0.0	1.0	0.0	3.0
540000	1.6063231009649144	0.7184372280240487	2.446184200588637	0.8259868574131884	2.040587559819389	3.091744642996713	1.0	1.0	1.0	1.0	1.0	1.0	6.0
550000	0.9251215358400598	1.1382924510870303	0.8832611382227663	0.02226251086341202	1.549643669272194	2.7430218580876224	0.0	1.0	1.0	0.0	1.0	1.0	4.0
560000	0.7542065332177981	0.9371941280313107	0.16980780416075364	0.13711898889460344	0.7249725801863239	0.1958935700722767	0.0	1.0	1.0	0.0	1.0	0.0	3.0
570000	0.9680902769186079	1.0118007972566203	0.9123949014220902	1.2296403932503346	1.3222311869335122	0.04070213793960832	1.0	1.0	1.0	0.0	1.0	1.0	5.0
580000	1.3935207738430744	0.3851214660366083	0.6383878405710658	0.8600503022301383	1.5588046891839331	0.39934560784069423	1.0	0.0	1.0	0.0	1.0	1.0	4.0
590000	0.3666406729887034	0.5856774779449818	3.4482283072544044	0.11452630685894688	1.2558562492728529	0.5394166673522723	1.0	0.0	1.0	0.0	1.0	1.0	4.0
600000	0.9463063836736298	0.2085966262406033	1.2183488114273981	6.658256578105145E-4	0.4321035834022477	0.03752715549014164	1.0	1.0	1.0	0.0	1.0	1.0	5.0
610000	0.37252103017274085	0.7213467076010697	0.22125053126777286	0.32414682862516325	0.9983757783476044	0.5228333102803949	1.0	0.0	1.0	0.0	1.0	0.0	3.0
620000	0.19822389099914872	0.33478982814609987	1.784236674358535	0.5692215075611601	0.41330662171384497	1.0113523214000069	1.0	1.0	1.0	1.0	1.0	1.0	6.0
630000	0.8698482663161452	0.021295980711331666	2.3505901278174344	1.3193920470371234	0.7242679044573818	0.7508103512221327	0.0	1.0	1.0	0.0	1.0	0.0	3.0
640000	0.11766634279654065	0.9361549232495335	0.29077808372979685	0.38118757443476986	0.5685965382546753	0.7115980913898302	1.0	0.0	1.0	1.0	1.0	1.0	5.0
650000	0.3216960176065949	0.6120796120482382	1.4191861367199952	3.9556018239042663	0.850331346648263	0.27051654583037105	1.0	0.0	1.0	0.0	1.0	0.0	3.0
660000	1.3040896678267253	0.2908243148108284	0.00965805924848303	1.0397969179702544	0.361464581308084	1.4507163578819773	0.0	1.0	1.0	0.0	1.0	1.0	4.0
670000	0.6698984425047524	0.5579697200403412	0.602489541458414	0.3228747629119645	0.9539926433512277	0.14371442187261266	1.0	0.0	1.0	0.0	1.0	1.0	4.0
680000	0.24342987530871746	0.4866824324246856	1.149870670473781	1.5611396589599082	1.4604397450534337	2.754526935079016	1.0	0.0	1.0	1.0	1.0	0.0	4.0
690000	0.6623150498908038	0.28093753690842593	0.6136530354045578	0.8561173800802853	0.30031232927798773	1.6602828245680905	0.0	1.0	1.0	0.0	1.0	0.0	3.0
700000	1.896407530512383	2.1703293119562757	2.325483435871175	0.7561897744219896	0.8519190781721956	1.2839825781897085	1.0	1.0	1.0	0.0	1.0	0.0	4.0
710000	0.5577191024748073	0.7773296664205968	1.2592327652299695	0.2265552156757504	0.2500175848472512	2.5094022868246135	0.0	1.0	1.0	0.0	1.0	0.0	3.0
720000	0.4232163529504022	0.24393015072075533	2.021904217737093	0.5328531357919964	0.7798479674300053	0.33394793265735956	1.0	0.0	1.0	0.0	1.0	1.0	4.0
730000	0.29510884595855413	0.28182307233717924	1.910636422845352	1.1609748646233793	1.7275352617669375	0.41250754337176	1.0	0.0	1.0	0.0	1.0	0.0	3.0
740000	0.7740634865602256	1.7938427526839824	1.639444455664787	0.31778318380932763	1.0399154426020392	0.09950807299299422	0.0	1.0	1.0	0.0	1.0	1.0	4.0
750000	1.0834179041456569	1.3501675045509896	2.7792520121075426	0.03395326424799547	2.431835872150519	0.7627099560686678	0.0	0.0	1.0	0.0	1.0	0.0	2.0
760000	1.496852924873837	1.223832804272292	1.1478442421581319	0.15771599770817601	1.8799522500444534	2.508952221629401	0.0	1.0	1.0	0.0	1.0	0.0	3.0
770000	0.6162820876612168	0.6143213213736675	2.4937400023496776	0.2258135153874539	1.9227012583189527	3.2993390860947094	1.0	0.0	1.0	0.0	1.0	0.0	3.0
780000	0.03702371877526639	1.1435913599794572	1.5056134888437944	1.346854259703583	0.503365548090682	0.9506711353944991	0.0	1.0	1.0	0.0	1.0	0.0	3.0
790000	1.490100273492802	4.695306438001623	1.1203170898722599	0.6710896129864472	1.1298752502599612	2.763802325294956	1.0	0.0	1.0	0.0	1.0	0.0	3.0
800000	2.6973319366013344	1.6530396518145034	2.864163779617874	0.8762907305839756	0.17867236977293882	0.4903132155573568	1.0	0.0	1.0	0.0	1.0	0.0	3.0
810000	0.6177482639817604	0.3048516862721769	0.8803235779715785	0.4702842139383835	0.9507632602245641	0.09837180026583625	0.0	1.0	1.0	0.0	1.0	1.0	4.0
820000	0.050661463623670216	0.05632329694729932	3.45009216435085	0.15583928720525045	1.943462404251399	1.6105187347571637	1.0	1.0	1.0	0.0	1.0	1.0	5.0
830000	0.2505168957903345	4.692824533055784	0.44465269881117514	0.09905664774771589	2.526302386746334	0.7749039232823645	1.0	1.0	1.0	0.0	1.0	0.0	4.0
840000	0.5409394637113022	0.9405949293096071	1.1568986308207576	2.568081554798042	2.157036523093786	5.243948429345118	1.0	0.0	1.0	0.0	1.0	0.0	3.0
850000	1.075482299173113	3.1474803340526196	0.3581466057085315	0.26086626034099186	0.9005181725846646	0.23357903639934946	1.0	1.0	1.0	0.0	1.0	0.0	4.0
860000	1.6617216889477993	0.39073254209132446	0.142171904463016	0.11878674196838067	2.056651393163635	2.475479752209184	0.0	1.0	0.0	1.0	1.0	1.0	4.0
870000	0.03884506901734763	0.8055283582740914	1.2180464909641535	1.275528648843514	1.8201165127225118	0.6989200700600234	1.0	1.0	1.0	0.0	1.0	0.0	4.0
880000	0.2562666660333821	0.29540604071818205	3.248829736757546	0.07443580860192564	0.6080333494817948	1.1660874317433456	0.0	1.0	1.0	0.0	1.0	0.0	3.0
890000	0.1508386294368136	0.27136504619717966	0.994664019550731	0.005345150359067518	1.1153192816960265	0.617303408391779	0.0	1.0	1.0	0.0	1.0	0.0	3.0
900000	2.215706122318714	0.05117765345721517	0.7123661105692491	0.0566942823609918	0.15300979694692685	0.25524275913490146	0.0	1.0	1.0	1.0	1.0	1.0	5.0
910000	0.37462603549269935	0.3766829083092814	1.4221978013622414	0.6281277622863477	2.8522979512197084	0.5725200615956958	0.0	1.0	1.0	1.0	1.0	0.0	4.0
920000	1.1313907568573265	0.41479436546563475	2.1342770939809856	0.7938946002156723	1.7004599795737776	0.12725373650527325	0.0	1.0	1.0	1.0	1.0	1.0	5.0
930000	0.28786587734248636	0.426436304341882	2.5516293121670657	0.6075641598818686	1.0905339193119667	0.9047720004835224	0.0	1.0	0.0	1.0	1.0	1.0	4.0
940000	2.1660488375865037	0.7896822794630812	0.6989726712033311	0.03393511230665029	0.8836905138207155	1.0186671439030508	0.0	1.0	1.0	1.0	1.0	1.0	5.0
950000	0.9764344616114289	0.9519880544956965	1.04034599659058	1.0748095389146677	0.6211850584406186	0.27833504338316734	1.0	1.0	1.0	0.0	1.0	1.0	5.0
