# BEAST v10.5.0
# Generated Thu Apr 09 11:53:39 BRT 2026 [seed=1775746417747]
# CDV_GTRG4_skygrid_strict_4traits.xml
state	host_1.rates.Carnivora.Primates	host_1.rates.Primates.Carnivora	host_1.indicators.Carnivora.Primates	host_1.indicators.Primates.Carnivora	host_1.nonZeroRates
0	1.0	1.0	1.0	1.0	2.0
10000	0.5104112428740054	0.3699196555583368	1.0	1.0	2.0
20000	2.9420465829175835	2.9255191162695615	1.0	1.0	2.0
30000	0.8110493149123885	0.7319296319324069	1.0	1.0	2.0
40000	1.5297961278684236	0.7678467756732554	1.0	1.0	2.0
50000	0.16682344135181654	0.7864788923942854	1.0	1.0	2.0
60000	4.50756876846049	0.3384506165336816	1.0	1.0	2.0
70000	0.1930674281897592	0.013803395773469965	1.0	1.0	2.0
80000	1.2169514039924443	1.0562289079653622	1.0	1.0	2.0
90000	1.4670329698941291	2.686113115503638	1.0	1.0	2.0
100000	0.6574057146231592	0.37177593670624054	1.0	1.0	2.0
110000	0.2608242050720426	0.12695806883786148	1.0	1.0	2.0
120000	0.4913671086370651	0.05049372206893263	1.0	1.0	2.0
130000	1.2010560608491057	0.20001372922615215	1.0	1.0	2.0
140000	1.0822131943798403	0.002975169611377524	1.0	1.0	2.0
150000	0.32255423093432345	0.19558417416113055	1.0	1.0	2.0
160000	5.292500563252651	1.6531617855899337	1.0	1.0	2.0
170000	0.4241033347545986	0.19569845005833067	1.0	1.0	2.0
180000	0.970993221333007	0.8285253171399126	1.0	1.0	2.0
190000	0.7664179618813852	1.303171157553353	1.0	1.0	2.0
200000	1.671395190017669	0.544093357247469	1.0	1.0	2.0
210000	0.42635899581044717	0.6911736654682517	1.0	1.0	2.0
220000	1.467138042066267	0.48863213276707684	1.0	1.0	2.0
230000	0.5932143058058377	0.45039449950186927	1.0	1.0	2.0
240000	1.8809174220796947	3.1156559370145094	1.0	1.0	2.0
250000	1.2857611236134818	0.5035538401458131	1.0	1.0	2.0
260000	0.2857628799719405	0.07012689427028536	1.0	1.0	2.0
270000	1.0527556537311167	0.05340739201657448	1.0	1.0	2.0
280000	3.213482746559316	1.492630825448307	1.0	1.0	2.0
290000	2.446133063271974	1.0731004722366753	1.0	1.0	2.0
300000	2.0338335498326687	0.11310896219495471	1.0	1.0	2.0
310000	2.205702995246784	0.4437122821429651	1.0	1.0	2.0
320000	1.0767748911963084	1.9833043703272026	1.0	1.0	2.0
330000	2.029242557731413	0.025040499522886717	1.0	1.0	2.0
340000	0.36199728928684344	0.1795989473172845	1.0	1.0	2.0
350000	0.37467627229318784	1.100918677120956	1.0	1.0	2.0
360000	1.301007239757652	0.6574868386142535	1.0	1.0	2.0
370000	1.7778853169539945	0.43524185834920315	1.0	1.0	2.0
380000	1.4050260110156234	0.13712513538190196	1.0	1.0	2.0
390000	0.6127582979235173	1.756834449692463	1.0	1.0	2.0
400000	0.273083783528555	1.9273564699998968	1.0	1.0	2.0
410000	0.4784503819308172	0.07460908293198434	1.0	1.0	2.0
420000	1.1563842290760709	0.946695858202547	1.0	1.0	2.0
430000	0.42117580689363593	0.6081856390927939	1.0	1.0	2.0
440000	0.3786437385509587	0.1632914272360794	0.0	1.0	1.0
450000	1.3509052209702668	0.01169554594510674	1.0	1.0	2.0
460000	0.7166570124032463	0.09906469014698263	1.0	1.0	2.0
470000	2.164720047178921	0.430410349152909	1.0	1.0	2.0
480000	0.683665126910831	0.03231804099330163	1.0	1.0	2.0
490000	0.3997719899259574	0.3051500851171012	1.0	1.0	2.0
500000	0.8013115192999632	0.03058050952851118	1.0	1.0	2.0
510000	3.768912055118676	0.8638688079066529	1.0	1.0	2.0
520000	0.6156471262548343	0.01848720557733625	1.0	1.0	2.0
530000	0.811715415311361	0.017076512228544387	1.0	1.0	2.0
540000	0.24482562454240483	0.1077119710911144	1.0	1.0	2.0
550000	2.9370014768466874	0.2664325485466728	1.0	1.0	2.0
560000	0.9561599211881235	0.19522706992519603	1.0	1.0	2.0
570000	2.8343433487252123	1.5098768191620835	1.0	1.0	2.0
580000	0.2418347021942349	1.0670051788858035	1.0	1.0	2.0
590000	1.2749800860606875	0.05130912688794478	1.0	1.0	2.0
600000	1.5634661224213913	0.38376719295455813	1.0	1.0	2.0
610000	1.0424160083307559	0.24644196732945536	1.0	1.0	2.0
620000	1.8418496810044833	0.8498970741615909	1.0	1.0	2.0
630000	0.8773266096591401	0.42276475674267033	1.0	1.0	2.0
640000	4.2975286474658025	0.4820189581882638	1.0	1.0	2.0
650000	0.6693587202346007	0.2561147803561229	1.0	1.0	2.0
660000	0.30821643060247883	0.11122777762564609	1.0	1.0	2.0
670000	0.831609355370294	0.061124221813864676	1.0	1.0	2.0
680000	0.9427686258228334	0.5558185705443491	1.0	1.0	2.0
690000	2.73665605974764	1.357937854095178	1.0	1.0	2.0
700000	0.45021372194154724	0.06736694243374935	1.0	1.0	2.0
710000	1.0867695636545025	1.5373097271436043	1.0	1.0	2.0
720000	1.8714821117847307	0.7857644875581673	1.0	1.0	2.0
730000	0.21568597522488503	0.1568159394670893	1.0	1.0	2.0
740000	1.8949066863397603	1.9251634068405694	1.0	1.0	2.0
750000	3.4823694135944807	0.07942374065671591	1.0	1.0	2.0
760000	1.6153271429252107	0.8934039340545438	1.0	1.0	2.0
770000	1.1699293794208738	0.17803220927639574	1.0	1.0	2.0
780000	2.1412569273620212	0.7922756233464203	1.0	1.0	2.0
790000	0.6450413473520317	0.4317474960384873	1.0	1.0	2.0
800000	1.4632531068551464	0.5699687206542008	1.0	1.0	2.0
810000	2.8008472586958386	0.18593164510171353	1.0	1.0	2.0
820000	0.2687699649443818	0.4163105941329191	1.0	1.0	2.0
830000	0.9484887069837561	0.21748785656167754	1.0	1.0	2.0
840000	0.45394046870791604	0.30629685745702834	1.0	1.0	2.0
850000	2.176046332747963	1.3871671802676087	1.0	1.0	2.0
860000	1.4560360787586184	0.9278361867443503	1.0	1.0	2.0
870000	1.983579923109718	2.0041284564266095	1.0	1.0	2.0
880000	2.0131594722928496	0.954471319399558	1.0	1.0	2.0
890000	1.064667582033417	0.9705290983870248	1.0	1.0	2.0
900000	0.45435875019068234	0.34272627082768675	1.0	1.0	2.0
910000	0.3926863204381372	0.5767854997818358	1.0	1.0	2.0
920000	1.7507357973505668	1.0155475802147083	1.0	1.0	2.0
930000	0.623499837631513	0.34636143396550784	1.0	1.0	2.0
940000	1.756173943664204	0.9590592345963154	1.0	1.0	2.0
950000	2.391873460218372	0.8302742055083724	1.0	1.0	2.0
960000	0.9133505013905315	0.4326516619070979	1.0	1.0	2.0
970000	0.24138831658338664	0.5394458951170287	1.0	1.0	2.0
980000	0.397329406599036	0.2145374420525409	1.0	1.0	2.0
990000	1.2459636354663488	0.5585933403190326	1.0	1.0	2.0
1000000	0.3038149337174516	1.3126168832753218	1.0	1.0	2.0
1010000	0.7078330545270313	1.5542533533342926	0.0	1.0	1.0
1020000	0.7768035157053877	0.1533004017668557	1.0	1.0	2.0
1030000	0.2953362074332921	0.29785897152549556	1.0	1.0	2.0
1040000	0.8421988780528401	0.10420932611342662	1.0	1.0	2.0
1050000	3.7443174074855654	0.10535026963571172	1.0	1.0	2.0
1060000	0.764910779458055	0.35606277794097185	1.0	1.0	2.0
1070000	0.38858292432098973	0.2408382154619154	1.0	1.0	2.0
1080000	0.6921961919980291	1.0627880967639856	1.0	1.0	2.0
1090000	1.521582458614329	0.30815767896067153	1.0	1.0	2.0
1100000	0.8307634573802873	0.7025805512951926	1.0	1.0	2.0
1110000	0.23594873583516107	0.0365740852421653	1.0	1.0	2.0
1120000	0.2289314373295374	0.11717678657336666	1.0	1.0	2.0
1130000	1.2440517773279034	1.145378920905136	1.0	1.0	2.0
1140000	0.2532506183891405	0.1366803179842358	1.0	1.0	2.0
1150000	2.5200037153363186	1.02698406362959	1.0	1.0	2.0
1160000	0.7293266090769519	0.46622134827708916	1.0	1.0	2.0
1170000	0.043615723488016206	0.015276141868926224	1.0	1.0	2.0
1180000	1.0417706062244685	0.746192934760267	1.0	1.0	2.0
1190000	1.218413001838937	0.5580773116143989	1.0	1.0	2.0
1200000	2.121143759807056	0.1723614162018916	1.0	1.0	2.0
1210000	1.2561958276804022	0.10623135913834357	1.0	1.0	2.0
1220000	0.3452375219551436	0.1428568777700041	1.0	1.0	2.0
1230000	0.5181109620172379	0.9276363747225164	1.0	1.0	2.0
1240000	0.9587813580343981	0.42829579273316404	1.0	1.0	2.0
1250000	0.78342061050259	1.1949563828194707	1.0	1.0	2.0
1260000	0.11307700151742678	0.132802823536719	1.0	1.0	2.0
1270000	0.21605182760193326	0.043523377825513604	1.0	1.0	2.0
1280000	0.6854052986315472	0.03980375946656708	1.0	1.0	2.0
1290000	1.3383224570706473	1.0815761078357573	1.0	1.0	2.0
1300000	0.1914803384972814	0.03573604661981004	1.0	1.0	2.0
1310000	1.1124313188651593	3.126666035882798	1.0	1.0	2.0
1320000	0.1641094831450351	0.005101968246063979	1.0	1.0	2.0
1330000	1.555292357371817	0.21312310495680042	1.0	1.0	2.0
1340000	1.5358679880861563	2.1162846031229643	1.0	1.0	2.0
1350000	2.6981368668392505	0.1469679474230932	1.0	1.0	2.0
1360000	3.343431310150587	1.8207222687540485	1.0	1.0	2.0
1370000	0.13272217459148555	0.08673103755868891	1.0	1.0	2.0
1380000	0.17878465396545604	0.09303075028630392	1.0	1.0	2.0
1390000	0.6814065300035906	1.0298167444582857	1.0	1.0	2.0
1400000	0.2608590024836977	1.023473951354201	1.0	1.0	2.0
1410000	0.49928061249660366	0.0934925214484924	1.0	1.0	2.0
1420000	0.6336131094694228	0.7395805259644694	1.0	1.0	2.0
1430000	0.4879608333840797	0.1913069566646266	1.0	1.0	2.0
1440000	0.44312789687243104	0.10771212273540369	1.0	1.0	2.0
1450000	1.4084938581889694	0.11140820565781175	1.0	1.0	2.0
1460000	0.44415016326061924	1.612885643928654	1.0	1.0	2.0
1470000	2.5108967858310796	0.023438843897678203	1.0	1.0	2.0
1480000	0.9524714851826326	0.2317150472943329	1.0	1.0	2.0
1490000	0.31320724828444135	0.022057664731398096	1.0	1.0	2.0
1500000	0.518923755921897	0.17852179312278543	1.0	1.0	2.0
1510000	1.4703132175844151	1.1759832358938245	1.0	1.0	2.0
1520000	0.4465100330093543	0.5021587715728181	1.0	1.0	2.0
1530000	0.2153697755142797	0.07503713369094688	1.0	1.0	2.0
1540000	1.435207063491043	0.37160251098691804	1.0	1.0	2.0
1550000	0.821636822220215	0.2893183596314847	1.0	1.0	2.0
1560000	1.3178899942422726	0.2515329127224893	1.0	1.0	2.0
1570000	1.2974628510905342	0.6861221384566047	1.0	1.0	2.0
1580000	0.4972159054988278	0.837686070445875	1.0	1.0	2.0
1590000	3.196703368298263	0.32924440943156635	1.0	1.0	2.0
1600000	0.39970073533090184	0.14591040728023794	1.0	1.0	2.0
1610000	1.9607482754261247	2.5123295836717876	1.0	1.0	2.0
1620000	0.24627595448046663	0.039213670073203755	1.0	1.0	2.0
1630000	0.4154058245201445	0.157477061952021	1.0	1.0	2.0
1640000	1.9018442427415283	0.223856537033528	1.0	1.0	2.0
1650000	0.13281636607622446	0.22277430439498122	1.0	1.0	2.0
1660000	0.5708027991182963	0.6630144552358197	1.0	1.0	2.0
1670000	1.2811576247341345	0.6309930246406407	1.0	1.0	2.0
1680000	0.8470860612883371	0.1821247750089109	1.0	1.0	2.0
1690000	1.0759446222588507	0.13178593230474395	1.0	1.0	2.0
1700000	4.1134874239007715	0.9001597920125404	1.0	1.0	2.0
1710000	0.726167339115806	0.034140125822108666	1.0	1.0	2.0
1720000	1.8950582305210235	0.27465051052856776	1.0	1.0	2.0
1730000	2.865812636216005	0.4293214489119962	1.0	1.0	2.0
1740000	0.9231120495470174	0.05301602438511406	1.0	1.0	2.0
1750000	2.7169040689372146	0.2936180255247861	1.0	1.0	2.0
1760000	0.7245190902107511	0.11479405553193663	1.0	1.0	2.0
1770000	0.682832995196264	1.932287808026948	1.0	1.0	2.0
1780000	0.23540764385206123	0.18732960464151896	1.0	1.0	2.0
1790000	1.6523558068585567	0.05862200421298373	1.0	1.0	2.0
1800000	0.4714588475890736	0.08675374922093375	1.0	1.0	2.0
1810000	0.9320614854365115	1.3417403123389489	1.0	1.0	2.0
1820000	3.376928942659943	0.9147919056033433	1.0	1.0	2.0
1830000	4.117555303731026	0.003082654587026121	1.0	1.0	2.0
1840000	1.9277487605180414	1.535364476555647	1.0	1.0	2.0
1850000	0.4396303717993228	0.24733263415358403	1.0	1.0	2.0
1860000	0.22879277117812	0.11141206312938212	1.0	1.0	2.0
1870000	1.3753951150842998	1.8273347407330287	1.0	1.0	2.0
1880000	0.3669831243453297	0.03235995139785748	1.0	1.0	2.0
1890000	1.1951395725610734	0.38456804864871735	1.0	1.0	2.0
1900000	0.250278076620613	0.42103434112994936	1.0	1.0	2.0
1910000	0.11296094631308316	0.14523201557368876	1.0	1.0	2.0
1920000	0.6364020704166999	0.47662382677217396	1.0	1.0	2.0
1930000	2.418581402581043	0.07521080983982345	1.0	1.0	2.0
1940000	0.7242388600291199	0.9034848690439541	1.0	1.0	2.0
1950000	2.3840438811561078	0.9773077460483176	1.0	1.0	2.0
1960000	0.5331609058750669	0.2824726442135639	1.0	1.0	2.0
1970000	1.335009315045124	0.037608370246360344	1.0	1.0	2.0
1980000	0.4612572081079451	0.15641471560826006	1.0	1.0	2.0
